DB00001,1,2,0.0,0.0,1,65.0,287.0,440.0,80.0,110.0
DB00002,1,2,0.0,0.0,1,61.0,6484.0,10042.0,1732.0,2023.0
DB00003,1,2,0.0,0.0,1,67.0,1321.0,1999.0,339.0,396.0
DB00004,1,2,0.0,0.0,1,0.0,2560.0,4042.0,678.0,799.0
DB00005,1,2,0.0,0.0,1,71.0,2224.0,3475.0,621.0,698.0
DB00006,2,3,2180.2853,2178.985813062,1,0.0,0.0,0.0,0.0,0.0
DB00007,2,3,1209.3983,1208.645462232,0,150.0,0.0,0.0,0.0,0.0
DB00008,1,2,0.0,0.0,1,61.0,0.0,0.0,0.0,0.0
DB00009,1,2,0.0,0.0,1,60.0,2569.0,3928.0,746.0,781.0
DB00010,1,2,0.0,0.0,1,0.0,149.0,246.0,44.0,42.0
DB00011,1,2,0.0,0.0,1,61.0,860.0,1353.0,227.0,255.0
DB00012,1,2,0.0,0.0,1,53.0,815.0,1317.0,233.0,241.0
DB00013,1,2,0.0,0.0,1,76.0,1376.0,2145.0,383.0,406.0
DB00014,2,3,1269.4105,1268.641439486,1,0.0,0.0,0.0,0.0,0.0
DB00015,1,2,0.0,0.0,1,60.0,1736.0,2671.0,499.0,522.0
DB00016,1,2,0.0,0.0,1,53.0,815.0,1317.0,233.0,241.0
DB00017,1,2,0.0,0.0,1,0.0,145.0,240.0,44.0,48.0
DB00018,1,2,0.0,0.0,1,61.0,0.0,0.0,0.0,0.0
DB00019,1,2,0.0,0.0,1,60.0,845.0,1343.0,223.0,243.0
DB00020,1,2,0.0,0.0,1,0.0,639.0,1006.0,168.0,196.0
DB00022,1,2,0.0,0.0,1,61.0,0.0,0.0,0.0,0.0
DB00023,1,2,0.0,0.0,1,0.0,1377.0,2208.0,382.0,442.0
DB00024,1,2,0.0,0.0,1,55.0,975.0,1513.0,267.0,304.0
DB00025,1,3,0.0,0.0,1,0.0,11794.0,18314.0,3220.0,3553.0
DB00026,1,2,0.0,0.0,1,0.0,759.0,1186.0,208.0,232.0
DB00027,2,2,1811.253,1810.033419343,1,229.0,0.0,0.0,0.0,0.0
DB00028,1,2,0.0,0.0,1,61.0,6332.0,9826.0,1692.0,1980.0
DB00029,1,2,0.0,0.0,1,60.0,2569.0,3928.0,746.0,781.0
DB00030,1,2,0.0,0.0,1,81.0,257.0,383.0,65.0,77.0
DB00031,1,2,0.0,0.0,1,60.0,2561.0,3919.0,747.0,781.0
DB00032,1,2,0.0,0.0,1,55.0,1014.0,1609.0,287.0,294.0
DB00033,1,2,0.0,0.0,1,61.0,761.0,1206.0,214.0,225.0
DB00034,1,2,0.0,0.0,1,0.0,860.0,1353.0,227.0,255.0
DB00035,2,3,1069.22,1068.426955905,0,0.0,0.0,0.0,0.0,0.0
DB00036,1,2,0.0,0.0,1,58.0,1972.0,3076.0,560.0,597.0
DB00038,1,2,0.0,0.0,1,0.0,854.0,1411.0,253.0,235.0
DB00039,1,2,0.0,0.0,1,0.0,721.0,1142.0,202.0,204.0
DB00040,1,2,0.0,0.0,1,0.0,165.0,249.0,49.0,51.0
DB00041,1,2,0.0,0.0,1,0.0,690.0,1115.0,177.0,202.0
DB00042,1,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
DB00043,1,3,0.0,0.0,1,61.0,6450.0,9916.0,1714.0,2023.0
DB00044,1,2,0.0,0.0,1,55.0,1014.0,1609.0,287.0,294.0
DB00045,1,2,0.0,0.0,1,0.0,1198.0,2012.0,322.0,422.0
DB00046,1,2,0.0,0.0,1,81.0,257.0,387.0,65.0,76.0
DB00047,1,2,0.0,0.0,1,81.0,267.0,404.0,72.0,78.0
DB00048,1,3,0.0,0.0,1,49.0,5028.0,7666.0,1300.0,1564.0
DB00049,1,2,0.0,0.0,1,0.0,1521.0,2381.0,417.0,461.0
DB00050,2,3,1431.038,1429.669818444,1,0.0,0.0,0.0,0.0,0.0
DB00051,1,2,0.0,0.0,1,0.0,6428.0,9912.0,1694.0,1987.0
DB00052,1,2,0.0,0.0,1,76.0,990.0,1532.0,262.0,300.0
DB00053,1,2,0.0,0.0,1,0.0,2532.0,3854.0,672.0,711.0
DB00054,1,2,0.0,0.0,1,61.0,6462.0,9964.0,1690.0,2049.0
DB00055,1,2,0.0,0.0,1,0.0,1786.0,2779.0,509.0,519.0
DB00056,1,2,0.0,0.0,1,61.0,0.0,0.0,0.0,0.0
